time,close,high,low,open,volumefrom,volumeto
6/28/17,0.001442,0.001579,0.0013,0.00136,934979.01,1342.89
6/29/17,0.001439,0.0016,0.0014,0.001442,2266517.4,3356.74
6/30/17,0.0015,0.001579,0.001432,0.001439,1533541.45,2321.04
7/1/17,0.001355,0.001529,0.001301,0.0015,1074523.08,1527.55
7/2/17,0.001373,0.001424,0.001301,0.001355,1370752.17,1842.71
7/3/17,0.00149,0.001539,0.001355,0.001373,2330844.14,3402.94
7/4/17,0.001439,0.001533,0.001385,0.00149,1137840.03,1668.74
7/5/17,0.001332,0.001455,0.00122,0.001439,5419256.07,7281.02
7/6/17,0.001186,0.001364,0.0011,0.001332,7771121.89,9317.98
7/7/17,0.001241,0.001349,0.001164,0.001186,1513859.13,1869.84
7/8/17,0.001288,0.001308,0.001163,0.001241,1426807.73,1744.64
7/9/17,0.001075,0.00129,0.0009124,0.001288,5351980.8,6057.63
7/10/17,0.0009753,0.00119,0.000957,0.001075,6076661.43,6440.84
7/11/17,0.00102,0.001087,0.0009707,0.0009753,2462012.21,2500.98
7/12/17,0.001039,0.00109,0.000981,0.00102,3842100.29,3943.13
7/13/17,0.0008909,0.00104,0.00085,0.001039,4249766.78,3968.14
7/14/17,0.0009306,0.00099,0.000775,0.0008909,2326225.56,1991.26
7/15/17,0.001149,0.00119,0.000848,0.0009306,3175111.91,3409.92
7/16/17,0.001397,0.00164,0.00109,0.001149,7227936.38,9740.48
7/17/17,0.001177,0.001565,0.0011,0.001397,7768319.08,10601.2
7/18/17,0.0012,0.001289,0.00106,0.001177,4426102.53,5095
7/19/17,0.001278,0.001349,0.00106,0.0012,3543728.82,4414.86
7/20/17,0.001211,0.001329,0.0011,0.001278,2776318.75,3407.48
7/21/17,0.001175,0.00125,0.00111,0.001211,1716507.54,2035.52
7/22/17,0.001159,0.001222,0.001133,0.001175,2134680.32,2525.13
7/23/17,0.00117,0.001203,0.001048,0.001159,3527360.87,3954.55
7/24/17,0.001231,0.00126,0.001149,0.00117,1732417.47,2082.35
7/25/17,0.001362,0.00142,0.001205,0.001231,1544708.85,2041.97
7/26/17,0.00135,0.00142,0.001348,0.001362,1500910.31,2080.73
7/27/17,0.00139,0.001434,0.001314,0.00135,1632626.58,2245.99
7/28/17,0.001356,0.001412,0.001315,0.00139,2309233.02,3171.75
7/29/17,0.001313,0.001385,0.001268,0.001356,2092970.15,2792.82
7/30/17,0.001269,0.001343,0.00123,0.001313,1463152.12,1871.71
7/31/17,0.001283,0.00133,0.00117,0.001269,1553914.39,1927.72
8/1/17,0.001314,0.00133,0.00124,0.001283,1445918.39,1848.93
8/2/17,0.00149,0.001499,0.00129,0.001314,2111789.21,3069.72
8/3/17,0.001762,0.00189,0.001471,0.00149,6184677.85,10755.85
8/4/17,0.00169,0.00186,0.001602,0.001762,2432665.14,4138.01
8/5/17,0.00162,0.00169,0.001481,0.00169,1851252.55,2886.27
8/6/17,0.001774,0.00186,0.001581,0.00162,2904933.25,5059.75
8/7/17,0.001896,0.001899,0.00161,0.001774,4143055.92,7477.59
8/8/17,0.001845,0.001899,0.001683,0.001896,2560765.96,4614.13
8/9/17,0.001921,0.001989,0.001751,0.001845,2411915.09,4473.47
8/10/17,0.002137,0.002385,0.001862,0.001921,6361193.01,13623.72
8/11/17,0.002355,0.002394,0.002,0.002137,4246310.81,9338.92
8/12/17,0.00275,0.002899,0.002354,0.002355,4912050.61,13146.64
8/13/17,0.003279,0.003329,0.002611,0.00275,5727666.97,17414.77
8/14/17,0.003221,0.003399,0.00281,0.003279,6335911.24,20494.98
8/15/17,0.00347,0.003596,0.0031,0.003221,3977702.61,13059.28
8/16/17,0.003388,0.003703,0.003341,0.00347,4299118.28,15108.73
8/17/17,0.002984,0.003498,0.002529,0.003388,4220336.22,12932.62
8/18/17,0.003364,0.003378,0.00275,0.002984,2964950.72,9011.48
8/19/17,0.003016,0.00349,0.003016,0.003364,2523827.17,8442.99
8/20/17,0.002637,0.003166,0.0025,0.003016,3824809.03,10723.36
