Timestamp,TradeId,Price,Amount,Type
1499556755,42174255,0.00011706,14.98906728,sell
1499556755,42174253,0.00011706,11.40824441,sell
1499556753,42174229,0.0001175,163.69832106,buy
1499556731,42174190,0.0001175,0.91404576,buy
1499556731,42174189,0.0001175,7.00805553,buy
1499556721,42174157,0.000117,376.64901321,buy
1499556719,42174145,0.000117,5.02045023,buy
1499556719,42174143,0.000117,19.14438231,buy
1499556718,42174138,0.000117,28.75615425,buy
1499556716,42174091,0.0001167,138.83845066,sell
1499556716,42174090,0.0001167,167.65354878,sell
1499556716,42174089,0.0001167,190.61575441,sell
1499556716,42174087,0.0001167,132.55002595,sell
1499556715,42174086,0.0001167,132.55002595,sell
1499556715,42174084,0.0001167,190.32269573,sell
1499556715,42174083,0.0001167,132.55002595,sell
1499556715,42174082,0.0001167,132.55002595,sell
1499556715,42174081,0.0001167,132.55002595,sell
1499556715,42174080,0.0001167,119.19709272,sell
1499556715,42174079,0.0001167,13.169447,sell
1499556713,42174060,0.0001167,13.169447,buy
1499556713,42174059,0.00011669,167.65354878,buy
1499556713,42174058,0.00011669,138.83845066,buy
1499556713,42174057,0.00011669,190.61575441,buy
1499556713,42174043,0.00011669,190.32269553,buy
1499556713,42174042,0.00011669,132.55002595,buy
1499556713,42174041,0.00011669,132.55002595,buy
1499556713,42174040,0.00011669,132.55002595,buy
1499556713,42174039,0.00011669,132.55002595,buy
1499556713,42174038,0.00011669,132.36653972,buy
1499556713,42174037,0.00011669,132.55002595,buy
1499556713,42174031,0.0001165,1482.547119,buy
1499556712,42174023,0.0001165,1453.827181,buy
1499556712,42174020,0.0001165,1494.31109779,buy
1499556709,42173994,0.0001165,0.1,buy
1499556689,42173879,0.00011641,26.155188,sell
1499556687,42173859,0.0001164,609.241,buy
1499556687,42173858,0.0001164,2881.25015818,buy
1499556686,42173849,0.0001164,858.73765564,buy
1499556686,42173841,0.0001164,7777.0,buy
1499556686,42173840,0.0001164,4584.572066,buy
1499556686,42173839,0.0001164,3898.44012018,buy
1499556686,42173838,0.00011639,211.77551844,buy
1499556686,42173837,0.00011634,47.6522,buy
1499556686,42173836,0.0001162,2690.854188,buy
1499556676,42173785,0.0001162,0.1,buy
1499556675,42173781,0.0001162,1175.865,buy
1499556675,42173780,0.0001162,1133.180812,buy
1499556675,42173779,0.0001162,26.155188,buy
1499556674,42173774,0.00011584,50.52824501,buy
1499556674,42173773,0.00011584,288.18451499,buy
1499556674,42173772,0.00011583,232.63328822,buy
1499556642,42173687,0.0001152,0.1,buy
1499556622,42173652,0.0001151,41.69701623,buy
1499556621,42173649,0.0001151,1398.21398855,buy
1499556621,42173639,0.0001151,244.47211145,buy
1499556609,42173613,0.00011565,0.1,buy
1499556575,42173523,0.00011572,0.1,buy
1499556543,42173489,0.00011477,0.1,buy
1499556511,42173418,0.00011481,0.1,buy
1499556483,42173393,0.00011321,25.36893524,sell
1499556482,42173392,0.00011481,20.47928578,buy
1499556482,42173391,0.00011481,82.55517822,buy
1499556477,42173368,0.00011483,0.1,buy
1499556472,42173353,0.00011485,500.0,buy
1499556472,42173351,0.0001145,500.0,sell
1499556463,42173325,0.00011484,9.7927566,sell
1499556444,42173285,0.00011542,0.1,buy
1499556412,42173220,0.0001158,0.1,buy
1499556377,42173178,0.00011595,0.1,buy
1499556348,42173079,0.00011487,998.0,buy
1499556347,42173067,0.0001148,998.0,buy
1499556346,42173062,0.00011459,2.42104139,buy
1499556346,42173061,0.00011459,2522.0342633,buy
1499556344,42173056,0.00011459,0.1,buy
1499556342,42173051,0.00011459,19698.34469531,buy
1499556341,42173045,0.00011459,7777.0,buy
1499556341,42173044,0.00011458,370.741116,buy
1499556310,42172988,0.00011459,0.1,buy
1499556277,42172918,0.0001141,0.1,buy
1499556244,42172872,0.0001141,0.1,buy
1499556239,42172865,0.0001141,865.0,buy
1499556211,42172840,0.0001141,0.1,buy
1499556179,42172803,0.0001141,0.1,buy
1499556147,42172767,0.0001141,0.1,buy
1499555966,42172479,0.0001141,189.18469217,buy
1499555610,42172094,0.00011369,1.0,buy
1499555605,42172088,0.00011389,5.0,buy
1499555597,42172081,0.00011429,10.0,buy
1499555594,42172078,0.00011389,10.0,buy
1499555590,42172076,0.0001139,10.0,buy
1499555582,42172066,0.000114,300.90100299,buy
1499555522,42171984,0.00011349,140.0,sell
1499555511,42171950,0.0001133,1000.0,buy
1499555491,42171918,0.0001134,980.0,buy
1499555276,42171417,0.00011349,500.0,buy
1499555004,42170932,0.0001131,300.0,buy
1499554344,42169961,0.0001146,223.70652742,buy
1499554217,42169858,0.00011304,2341.38446101,sell
1499554124,42169765,0.00011357,500.0,sell
1499554094,42169737,0.00011437,500.0,sell
1499554086,42169732,0.00011437,13.03404381,buy
1499554086,42169731,0.00011437,315.26832309,buy
1499554086,42169730,0.00011434,98.0980981,buy
1499554086,42169729,0.00011433,73.599535,buy
1499554080,42169719,0.00011437,72.20366294,sell
1499554080,42169718,0.00011437,427.79633706,sell
1499554076,42169717,0.00011384,437.58485312,buy
1499554076,42169716,0.00011383,62.41514688,buy
1499554071,42169710,0.00011383,500.0,buy
1499554064,42169701,0.0001139,500.0,buy
1499554054,42169696,0.00011389,500.0,buy
1499554052,42169695,0.00011389,200.601003,buy
1499553978,42169653,0.0001134,1281.2761724,sell
1499553978,42169652,0.0001134,47.12500756,sell
1499553972,42169651,0.0001134,150.0,sell
1499553852,42169499,0.0001132,6709.592561,buy
1499553852,42169498,0.00011319,590.00277176,buy
1499553847,42169488,0.0001132,7108.178,buy
1499553846,42169486,0.0001132,3682.229439,buy
1499553846,42169485,0.00011319,903.18497,buy
1499553845,42169484,0.0001131,496.51233599,buy
1499553845,42169483,0.0001131,7030.408,buy
1499553844,42169479,0.0001131,5312.97966401,buy
1499553823,42169430,0.0001134,2117.81215783,buy
1499553823,42169429,0.0001134,5000.0,buy
1499553818,42169422,0.00011339,1084.07714516,buy
1499553715,42169264,0.00011399,157.8231758,buy
1499553715,42169263,0.00011385,214.285,buy
1499553620,42169159,0.00011394,0.5,buy
1499553509,42169052,0.0001119,0.00006058,buy
1499553509,42169051,0.0001119,4326.99993942,buy
1499553494,42169021,0.00011102,536.9968,sell
1499553494,42169020,0.00011104,2130.6562,sell
1499553494,42169019,0.00011105,7232.61,sell
1499553494,42169018,0.00011155,17.857142,sell
1499553484,42169007,0.000111,2954.30269053,sell
1499553484,42169006,0.000111,1500.0,sell
1499553484,42169005,0.000111,2000.0,sell
1499553484,42169004,0.00011111,5000.0,sell
1499553484,42169003,0.0001112,50000.0,sell
1499553484,42169002,0.00011121,215.0,sell
1499553484,42169001,0.00011129,15.94,sell
1499553484,42169000,0.00011151,844.83427495,sell
1499553484,42168999,0.00011152,882.016,sell
1499553484,42168998,0.00011157,21.24542124,sell
1499553484,42168997,0.0001116,5000.0,sell
1499553484,42168996,0.0001117,1000.0,sell
1499553484,42168995,0.0001121,1445.91107772,sell
1499553484,42168994,0.00011211,672.20314933,sell
1499553484,42168993,0.00011211,2110.3207,sell
1499553484,42168992,0.00011211,6878.817,sell
1499553484,42168991,0.00011256,19.451812,sell
1499553484,42168990,0.00011257,672.20314933,sell
1499553484,42168989,0.0001127,9699.7,sell
1499553472,42168955,0.000112,28.54760208,buy
1499553472,42168953,0.000112,17762.95239792,buy
1499553472,42168948,0.000112,6970.680625,sell
1499553472,42168947,0.000112,10000.0,sell
1499553472,42168946,0.000112,420.0,sell
1499553472,42168945,0.000112,446.4285714,sell
1499553472,42168944,0.00011225,900.0,sell
1499553472,42168943,0.00011231,400.0,sell
1499553472,42168942,0.0001124,1300.0,sell
1499553472,42168941,0.0001125,10.0,sell
