Timestamp,TradeId,Price,Amount,Type
1500767696,46009360,0.27158,5.06736543,sell
1500767696,46009359,0.27158,7989.75487,sell
1500767673,46009337,0.27158,286.7556495,sell
1500767367,46008872,0.27158,1000,sell
1500767341,46008839,0.27158,29,sell
1500767233,46008639,0.27158,694.4894803,sell
1500767233,46008638,0.272,375,sell
1500767233,46008637,0.272,375,sell
1500767068,46008391,0.273,493.0039779,buy
1500767068,46008390,0.273,286.9960221,buy
1500767015,46008340,0.273,1.00397786,buy
1500766969,46008286,0.273,12,buy
1500766774,46008008,0.2732,1,buy
1500766764,46007999,0.27282,20.90065141,buy
1500766764,46007998,0.2726,1950,buy
1500766752,46007994,0.2726,50,buy
1500766727,46007964,0.2726,28.6319711,buy
1500766719,46007961,0.27259,1266.78247,buy
1500766642,46007897,0.27259,2368.513152,buy
1500766642,46007896,0.27259,1300,buy
1500766423,46007536,0.27259,100,buy
1500766316,46007284,0.27259,100.356225,buy
1500766316,46007283,0.27259,173.210204,buy
1500766258,46007197,0.27259,140.1526835,buy
1500766258,46007196,0.27238,10,buy
1500766225,46007143,0.2723,701.2663496,buy
1500766213,46007114,0.2723,54.91928718,buy
1500766003,46006796,0.27216,5000,buy
1500765965,46006767,0.27031,1907.924243,sell
1500765965,46006766,0.27032,3.33070033,sell
1500765853,46006582,0.26969,3408.242618,sell
1500765853,46006581,0.26969,1905.12027,sell
1500765853,46006580,0.27,50,sell
1500765853,46006579,0.27066,43.21950468,sell
1500765853,46006578,0.27081,69.59800635,sell
1500765853,46006577,0.271,6023.819602,sell
1500765845,46006571,0.271,1449.877398,sell
1500765845,46006570,0.271,547,sell
1500765845,46006569,0.27103,10,sell
1500765845,46006568,0.27201,7.58017238,sell
1500765771,46006275,0.2725,100,buy
1500765768,46006272,0.2725,100,buy
1500765767,46006270,0.2725,100,buy
1500765765,46006266,0.2726,100,buy
1500765761,46006245,0.2726,96.08441,buy
1500765761,46006244,0.27259,3.91559,buy
1500765687,46006123,0.27201,68.19819487,sell
1500765622,46006044,0.27201,3.55936482,sell
1500765617,46006037,0.272,66.13329286,sell
1500765617,46006036,0.27201,3.55936482,sell
1500765519,46005794,0.2732,40,buy
1500765514,46005787,0.2732,20.84520377,buy
1500765474,46005747,0.272,1059.074324,sell
1500765474,46005746,0.27201,10.99667643,sell
1500765467,46005729,0.272,684.9737304,sell
1500765467,46005728,0.27201,7.08198566,sell
1500765450,46005707,0.272,186.2592883,sell
1500765450,46005706,0.27201,7.08198566,sell
1500765193,46005342,0.2732,82,buy
1500765079,46005056,0.2732,0.56,buy
1500765031,46004953,0.2732,500,buy
1500765014,46004935,0.2732,5,buy
1500765002,46004924,0.27288,9.92,buy
1500765002,46004923,0.27271,36.15675895,buy
1500765002,46004922,0.27238,10,buy
1500765002,46004921,0.27082,0.05419691,buy
1500764926,46004744,0.27082,1999.945803,buy
1500764926,46004743,0.27082,0.00000525,buy
1500764879,46004664,0.27082,1908.806061,buy
1500764876,46004656,0.27081,0.000003,sell
1500764826,46004535,0.27082,81.19393368,sell
1500764794,46004454,0.27081,1500,sell
1500764790,46004438,0.27081,145.6634491,sell
1500764790,46004437,0.27086,4.33655093,sell
1500764719,46004184,0.27081,368.7941188,sell
1500764719,46004183,0.27082,81.2058812,sell
1500764719,46004182,0.27082,20,sell
1500764683,46004109,0.27238,10,sell
1500764657,46004060,0.2706,300.1198508,sell
1500764657,46004059,0.27067,9.92,sell
1500764657,46004058,0.271,189.9737745,sell
1500764657,46004057,0.27103,10,sell
1500764657,46004056,0.27227,100.6189231,sell
1500764657,46004055,0.2729,500,sell
1500764657,46004054,0.2729,1889.367452,sell
1500764638,46004026,0.2729,26.44421854,sell
1500764638,46004025,0.2729,273.5557815,sell
1500764597,46003943,0.2732,265.1829389,sell
1500764579,46003917,0.2732,73.226362,sell
1500764574,46003901,0.2732,242.9860221,sell
1500764574,46003900,0.27321,174.2635254,sell
1500764560,46003881,0.2736,8.41611838,buy
1500764544,46003844,0.27321,406.5578889,sell
1500764544,46003843,0.2736,10,sell
1500764527,46003807,0.27321,10.23974,sell
1500764513,46003787,0.27321,115.5591817,buy
1500764484,46003756,0.2729,69.854912,sell
1500764484,46003754,0.2729,156.5893065,sell
1500764484,46003753,0.273,343.4106935,sell
1500764462,46003718,0.2738,51.66158706,buy
1500764462,46003717,0.27374,10,buy
1500764462,46003716,0.2735,1000,buy
1500764462,46003715,0.2734,570.6396349,buy
1500764462,46003714,0.27338,367.698778,buy
1500764462,46003711,0.273,580.0004235,sell
1500764446,46003694,0.2734,429.3603651,buy
1500764446,46003693,0.27322,1000,buy
1500764446,46003692,0.27321,570.6396349,buy
1500764433,46003679,0.27321,2000,buy
1500764431,46003671,0.27321,1889.360365,buy
1500764431,46003670,0.2732,110.6396349,buy
1500764414,46003644,0.27321,540,buy
1500764414,46003643,0.2732,500,buy
1500764414,46003642,0.2732,960,buy
1500764364,46003519,0.2732,40,buy
1500764330,46003474,0.273,500,buy
1500764330,46003473,0.273,500,buy
1500764330,46003472,0.273,76.58888308,buy
1500764271,46003358,0.273,3.41111692,buy
1500764213,46003216,0.273,920,buy
1500764194,46003176,0.27289,494.8105799,sell
1500764194,46003175,0.2729,500,sell
1500764194,46003174,0.27295,78.84524612,sell
1500764194,46003173,0.27295,596.0905705,sell
1500764163,46003106,0.27295,115.6853,sell
1500764153,46003096,0.2729,500,buy
1500764153,46003095,0.2729,500,buy
1500764153,46003094,0.2729,979.2241295,buy
1500764087,46002981,0.27289,285.0862454,sell
1500764087,46002978,0.27289,279.4418153,sell
1500764085,46002977,0.27289,109,buy
1500764057,46002924,0.27289,0.00490376,sell
1500764057,46002923,0.27289,49.99509624,sell
1500764006,46002836,0.27289,50,buy
1500764001,46002834,0.27289,7.88363303,buy
1500764000,46002830,0.27289,10,buy
1500763804,46002332,0.2729,20.77587054,buy
1500763654,46002044,0.27068,3000,sell
1500763614,46001955,0.2729,162.8691178,buy
1500763610,46001954,0.2706,200,sell
1500763472,46001620,0.27322,26.947,buy
1500763472,46001619,0.273,260,buy
1500763472,46001618,0.27238,10,buy
1500763472,46001617,0.272,190,buy
