time,close,high,low,open,volumefrom,volumeto
6/12/17,0.0002195,0.0002195,0.0002159,0.0002159,45022.55,9.85
6/13/17,0.0002164,0.0002207,0.0001968,0.0002195,19006750.28,4083.75
6/14/17,0.0001448,0.0002185,0.00013,0.0002164,21316668.55,3537.65
6/15/17,0.00017,0.0001795,0.00013,0.0001448,12199314.76,1942.88
6/16/17,0.0001673,0.000177,0.0001611,0.00017,5964082.45,1028.64
6/17/17,0.0001625,0.0001686,0.000158,0.0001673,4427100.55,723.38
6/18/17,0.0001648,0.0001677,0.000153,0.0001625,6716088.02,1085.05
6/19/17,0.0001622,0.000165,0.0001535,0.0001648,5721856.88,918.1
6/20/17,0.0001626,0.0001689,0.000158,0.0001622,6219353.84,1022.11
6/21/17,0.0001641,0.0001688,0.0001602,0.0001626,4552684.95,749.66
6/22/17,0.0001799,0.0001799,0.00016,0.0001641,5880695.99,986.88
6/23/17,0.000201,0.0002357,0.0001795,0.0001799,28636141.38,5878.77
6/24/17,0.0001876,0.000201,0.000184,0.000201,6902144.49,1338.99
6/25/17,0.0001697,0.0001877,0.00015,0.0001876,15565382.74,2573.76
6/26/17,0.0001558,0.0001726,0.0001501,0.0001697,7983044.38,1261.88
6/27/17,0.000148,0.0001577,0.00014,0.0001558,9003978.64,1344.37
6/28/17,0.0001658,0.0001796,0.0001405,0.000148,8851723.25,1430.51
6/29/17,0.0001643,0.0001813,0.0001606,0.0001658,7680807.46,1313.19
6/30/17,0.0001643,0.0001693,0.000161,0.0001643,2721369.01,446.62
7/1/17,0.0001537,0.0001645,0.0001504,0.0001643,4291268.96,668.16
7/2/17,0.0001484,0.0001545,0.000144,0.0001537,5081419.03,751.92
7/3/17,0.0001526,0.0001599,0.0001455,0.0001484,4577795.56,697.31
7/4/17,0.0001466,0.0001565,0.00014,0.0001526,4485107.75,666.41
7/5/17,0.0001369,0.0001485,0.000123,0.0001466,6595630.99,917.8
7/6/17,0.0001144,0.0001389,0.000104,0.0001369,11100107.92,1318.16
7/7/17,0.0001183,0.000128,0.000111,0.0001144,3965755.23,467.28
7/8/17,0.0001218,0.0001249,0.00011,0.0001183,3631779.99,425.75
7/9/17,0.00009014,0.0001218,0.000082,0.0001218,10196284.92,1027.76
7/10/17,0.000081,0.0001019,0.00007904,0.00009014,15844434.64,1385.6
7/11/17,0.0000962,0.000099,0.00008004,0.000081,6714435.46,611.56
7/12/17,0.00009136,0.0001,0.000083,0.0000962,7192554.9,659.27
7/13/17,0.00007899,0.00009139,0.00007303,0.00009136,7076948.36,572.18
7/14/17,0.0000806,0.0000832,0.0000701,0.00007899,7701774.99,594.55
7/15/17,0.00009427,0.0000955,0.0000792,0.0000806,8893551.75,778.6
7/16/17,0.0001184,0.0001352,0.0000901,0.00009427,19034242.68,2141.02
7/17/17,0.0001164,0.000138,0.0001132,0.0001184,11714598.46,1481.69
7/18/17,0.0001041,0.0001225,0.000102,0.0001164,7918423.66,877.75
7/19/17,0.000103,0.0001195,0.0000966,0.0001041,12537354.17,1342.12
7/20/17,0.00009877,0.0001103,0.000093,0.000103,8247603.34,860.3
7/21/17,0.00009591,0.0000998,0.00009,0.00009877,5779960.32,544.82
7/22/17,0.0000966,0.0000999,0.0000921,0.00009591,3473457.99,336.81
7/23/17,0.000096,0.00009948,0.000088,0.0000966,4364582.65,411.26
7/24/17,0.00009799,0.000099,0.0000919,0.000096,3980221.62,381.51
7/25/17,0.000109,0.0001124,0.00009642,0.00009799,7458050.38,796.64
7/26/17,0.0001028,0.0001113,0.0001004,0.000109,4653904.03,502.1
7/27/17,0.00009572,0.0001033,0.00009352,0.0001028,6093688.74,598.65
7/28/17,0.0001013,0.000102,0.00009144,0.00009572,3309652.35,316.92
7/29/17,0.00009283,0.000105,0.00009222,0.0001013,4467898.41,433.81
7/30/17,0.0000894,0.0000959,0.0000854,0.00009283,5013519.97,450.25
7/31/17,0.0001064,0.0001093,0.0000883,0.0000894,7471634.52,742.33
8/1/17,0.000106,0.0001089,0.0000999,0.0001064,4327887.77,449.55
8/2/17,0.0001197,0.0001239,0.000105,0.000106,7193967.85,836.96
8/3/17,0.0001375,0.0001484,0.0001191,0.0001197,16780555.7,2314.67
8/4/17,0.0001249,0.0001375,0.00012,0.0001375,6066638.5,774.87
8/5/17,0.0001355,0.000136,0.00012,0.0001249,5054009.09,638.07
8/6/17,0.00014,0.000147,0.0001289,0.0001355,11446229.73,1594.25
8/7/17,0.00016,0.00016,0.000136,0.00014,10951466.7,1616.94
8/8/17,0.00016,0.000165,0.0001532,0.00016,7789691.57,1254.1
8/9/17,0.0001661,0.000171,0.0001534,0.00016,9410690.9,1538.96
8/10/17,0.0001795,0.0002,0.000162,0.0001661,25592460.76,4663.66
8/11/17,0.0001868,0.0001897,0.0001685,0.0001795,8953036.11,1599.36
8/12/17,0.0001991,0.000205,0.000175,0.0001868,17728201.07,3428.06
8/13/17,0.0002252,0.00023,0.000195,0.0001991,19795017.72,4168.41
8/14/17,0.0002205,0.000231,0.0001971,0.0002252,25911289.22,5731.02
8/15/17,0.0002372,0.0002372,0.0002186,0.0002205,15938926.8,3641.47
8/16/17,0.000237,0.0002468,0.0002313,0.0002372,21739828.97,5273.76
8/17/17,0.0002126,0.000242,0.0001901,0.000237,18341773.53,3971.4
8/18/17,0.0002355,0.0002358,0.000195,0.0002126,11351116.94,2455.32
8/19/17,0.0002199,0.0002476,0.0002199,0.0002355,11080324.33,2644.85
8/20/17,0.000225,0.0002305,0.0002076,0.0002199,8993300.54,1963.66
