timeDate,close,high,low,open,volumefrom,volumeto
10/11/17,0.00007753,0.0001012,0.00007408,0.0001004,1798233,162.46
10/12/17,0.00008097,0.00008298,0.00007061,0.00007753,2012745,154.74
10/13/17,0.00007971,0.00008779,0.0000778,0.00008097,1542263,125.48
10/14/17,0.00007802,0.00008052,0.00007504,0.00007971,1534028,120
10/15/17,0.00007952,0.0001147,0.00007619,0.00007802,3265537,259
10/16/17,0.00008425,0.00009267,0.00007836,0.00007952,5863623,472.39
10/17/17,0.00008239,0.00009249,0.00008202,0.00008425,4890111,423.46
10/18/17,0.00007747,0.00008417,0.00007352,0.00008239,4244735,335.19
10/19/17,0.00006802,0.00007748,0.00006393,0.00007747,4817322,345.05
10/20/17,0.00006898,0.00007028,0.00005974,0.00006802,3489996,226.93
10/21/17,0.0000731,0.0000762,0.00006668,0.00006898,3822636,276.12
10/22/17,0.00007611,0.00007611,0.00006781,0.0000731,3720719,268.24
10/23/17,0.00008694,0.00009639,0.00007154,0.00007611,5597821,484.62
10/24/17,0.00008247,0.000087,0.0000808,0.00008694,6146828,515.13
10/25/17,0.00007517,0.00008533,0.00007359,0.00008247,4458039,349.33
10/26/17,0.00007359,0.0000785,0.00007111,0.00007517,3488919,262.17
10/27/17,0.00007369,0.00007491,0.00007257,0.00007359,4684603,347.42
10/28/17,0.00007202,0.00007629,0.00007,0.00007369,4681410,343.66
10/29/17,0.00006656,0.0000745,0.00006303,0.00007202,4899544,329.42
10/30/17,0.00006078,0.00006656,0.00006028,0.00006656,3923620,248.57
10/31/17,0.00005315,0.00006231,1.00E-07,0.00006078,5013858,284.05
11/1/17,0.00005205,0.00005601,0.00001,0.00005315,4447365,223.67
11/2/17,0.00005548,0.0000555,0.00004928,0.00005205,4993759,256.98
11/3/17,0.00005012,0.00005625,0.00005,0.00005548,4067484,213.4
11/4/17,0.00004715,0.00005149,0.00004523,0.00005012,4414660,210.92
11/5/17,0.00005354,0.00005579,0.00004709,0.00004715,4564013,228.85
11/6/17,0.00005432,0.00005559,0.00005124,0.00005354,4654167,251.25
11/7/17,0.0000666,0.0000687,0.000053,0.00005432,6894349,413.82
11/8/17,0.00007601,0.0000845,0.00006335,0.0000666,6310434,477.5
11/9/17,0.0000766,0.00008712,0.000069,0.00007601,6337146,477.34
11/10/17,0.0001007,0.0001007,0.00007149,0.0000766,6452958,556.18
11/11/17,0.000105,0.0001115,0.00008966,0.0001007,8683700,859.94
11/12/17,0.00009207,0.0001295,0.00008805,0.000105,8118697,824.6
11/13/17,0.00009347,0.00009648,0.000083,0.00009207,6534075,586.87
11/14/17,0.0001101,0.000111,0.00009077,0.00009347,10047485,988.14
11/15/17,0.000104,0.0001162,0.00009987,0.0001101,12480702,1347.85
11/16/17,0.0001031,0.0001131,0.00009573,0.000104,17995633,1857.89
11/17/17,0.0001051,0.0001089,0.00009956,0.0001031,17303125,1784.86
11/18/17,0.0001098,0.0001142,0.0001037,0.0001051,21493827,2334.85
11/19/17,0.0001191,0.0001255,0.0001072,0.0001098,25827918,3005.1
11/20/17,0.0001122,0.0001224,0.0001012,0.0001191,20296271,2278.47
11/21/17,0.0001096,0.0001178,0.000101,0.0001122,22650856,2527.4
11/22/17,0.00009931,0.0001124,0.000096,0.0001096,17651453,1894.37
11/23/17,0.00009717,0.000103,0.0000878,0.00009931,21804698,2057.16
11/24/17,0.00009179,0.000099,0.00008985,0.00009717,20140694,1903.56
11/25/17,0.000091,0.00009619,0.00008255,0.00009179,20805550,1836.42
11/26/17,0.0001066,0.0001155,0.00008291,0.000091,25772934,2505.21
11/27/17,0.000119,0.0001217,0.0001066,0.0001066,3303468,375.36
